OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT
acs0509_med_age_gender,acs0509_med_age_gender,census,ACS: Median Age By Sex (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Age-Sex subject area. Provides information about: Median Age By Sex for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_med_fam_income,acs0509_med_fam_income,census,ACS: Median Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Median Family Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) for the universe of: Families. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_median_contract_rent,acs0509_median_contract_rent,census,ACS: Median Contract Rent (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Median Contract Rent (Dollars) for the universe of: Renter-occupied housing units paying cash rent. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_median_rent_ratio_income,acs0509_median_rent_ratio_income,census,ACS: Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars) for the universe of: Renter-occupied housing units paying cash rent. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_median_yr_struc_built,acs0509_median_yr_struc_built,census,ACS: Median Year Structure Built (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Median Year Structure Built for the universe of: Housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_mobilehome_med_val,acs0509_mobilehome_med_val,census,ACS: Median Value (Dollars) For Mobile Homes (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Median Value (Dollars) For Mobile Homes for the universe of: Owner-occupied mobile homes. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_mortgage_ratio_income,acs0509_mortgage_ratio_income,census,ACS: Mortgage Status By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Mortgage Status By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months for the universe of: Owner-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_nativity_lang_eng_ability,acs0509_nativity_lang_eng_ability,census,ACS: Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Language subject area. Provides information about: Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over for the universe of: Population 5 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_occupancy_status,acs0509_occupancy_status,census,ACS: Occupancy Status (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Occupancy Status for the universe of: Housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_percapita_income,acs0509_percapita_income,census,ACS: Per Capita Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Income subject area. Provides information about: Per Capita Income In The Past 12 Months (In 2009 Inflation-Adjusted Dollars) for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_pop_less_18yr,acs0509_pop_less_18yr,census,ACS: Population Under 18 Years By Age (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Children - Relationship subject area. Provides information about: Population Under 18 Years By Age for the universe of: Population under 18 years. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_pop_occupied_unit,acs0509_pop_occupied_unit,census,ACS: Total Population In Occupied Housing Units By Tenure By Units In Structure (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Total Population In Occupied Housing Units By Tenure By Units In Structure for the universe of: Total population in occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_asian_alone,acs0509_poverty_age_asian_alone,census,ACS: Poverty Status In The Past 12 Months By Age (Asian Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Asian Alone) for the universe of: Asian alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_black_alone,acs0509_poverty_age_black_alone,census,ACS: Poverty Status In The Past 12 Months By Age (Black Or African American Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Black Or African American Alone) for the universe of: Black or African American alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_hawaii_alone,acs0509_poverty_age_hawaii_alone,census,ACS: Poverty Status In The Past 12 Months By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Native Hawaiian And Other Pacific Islander Alone) for the universe of: Native Hawaiian and Other Pacific Islander alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_hisp_lat,acs0509_poverty_age_hisp_lat,census,ACS: Poverty Status In The Past 12 Months By Age (Hispanic Or Latino) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Hispanic Or Latino) for the universe of: Hispanic or Latino population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_native_alone,acs0509_poverty_age_native_alone,census,ACS: Poverty Status In The Past 12 Months By Age (American Indian And Alaska Native Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (American Indian And Alaska Native Alone) for the universe of: American Indian and Alaska Native alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_other,acs0509_poverty_age_other,census,ACS: Poverty Status In The Past 12 Months By Age (Some Other Race Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Some Other Race Alone) for the universe of: Some other race alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_two_race,acs0509_poverty_age_two_race,census,ACS: Poverty Status In The Past 12 Months By Age (Two Or More Races) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (Two Or More Races) for the universe of: Two or more races population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_white_alone,acs0509_poverty_age_white_alone,census,ACS: Poverty Status In The Past 12 Months By Age (White Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (White Alone) for the universe of: White alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_age_white_nohisp,acs0509_poverty_age_white_nohisp,census,ACS: Poverty Status In The Past 12 Months By Age (White Alone; Not Hispanic Or Latino) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Age (White Alone; Not Hispanic Or Latino) for the universe of: White alone; not Hispanic or Latino population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_asian_alone,acs0509_poverty_gdr_asian_alone,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) for the universe of: Asian alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_black_alone,acs0509_poverty_gdr_black_alone,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Black Or African American Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Black Or African American Alone) for the universe of: Black or African American alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_hawaii_alone,acs0509_poverty_gdr_hawaii_alone,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) for the universe of: Native Hawaiian and Other Pacific Islander alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_hisp_lat,acs0509_poverty_gdr_hisp_lat,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) for the universe of: Hispanic or Latino population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_native_alone,acs0509_poverty_gdr_native_alone,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (American Indian And Alaska Native Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (American Indian And Alaska Native Alone) for the universe of: American Indian and Alaska Native alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_other,acs0509_poverty_gdr_other,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) for the universe of: Some other race alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_two_race,acs0509_poverty_gdr_two_race,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) for the universe of: Two or more races population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_white_alone,acs0509_poverty_gdr_white_alone,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (White Alone) for the universe of: White alone population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gdr_white_nohisp,acs0509_poverty_gdr_white_nohisp,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) for the universe of: White alone; not Hispanic or Latino population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_gender_age,acs0509_poverty_gender_age,census,ACS: Poverty Status In The Past 12 Months By Sex By Age (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months By Sex By Age for the universe of: Population for whom poverty status is determined. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_poverty_stat_fam_type,acs0509_poverty_stat_fam_type,census,ACS: Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Poverty subject area. Provides information about: Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children for the universe of: Families. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_race,acs0509_race,census,ACS: Race (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Race subject area. Provides information about: Race for the universe of: Total population. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_sch_enroll_sch_lvl,acs0509_sch_enroll_sch_lvl,census,ACS: School Enrollment By Level Of School For The Population 3 Years And Over (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: School Enrollment subject area. Provides information about: School Enrollment By Level Of School For The Population 3 Years And Over for the universe of: Population 3 years and over. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_sel_mthly_owner_costs,acs0509_sel_mthly_owner_costs,census,ACS: Selected Monthly Owner Costs (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Selected Monthly Owner Costs for the universe of: Owner-occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_tenure,acs0509_tenure,census,ACS: Tenure (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Tenure for the universe of: Occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_tenure_age_hsehldr,acs0509_tenure_age_hsehldr,census,ACS: Tenure By Age Of Householder (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Tenure By Age Of Householder for the universe of: Occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_tenure_hsehld_size,acs0509_tenure_hsehld_size,census,ACS: Tenure By Household Size (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Tenure By Household Size for the universe of: Occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_tenure_units_struct,acs0509_tenure_units_struct,census,ACS: Tenure By Units In Structure (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Tenure By Units In Structure for the universe of: Occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
acs0509_tenure_yr_struc_built,acs0509_tenure_yr_struc_built,census,ACS: Tenure By Year Structure Built (Based on 2000 Census Tracts),US Census American Community Survey (2005-2009) data table for: Housing subject area. Provides information about: Tenure By Year Structure Built for the universe of: Occupied housing units. These data are extrapolated estimates only; based on sampling; they are not actual complete counts. The data is based on 2000 (not 2010) Census Tracts. This table contains both the estimate value in the E_ item for the census topic and an adjacent M_ item which defines the margin of error for the value. The margin of error is the plus/minus  range for the item estimate value where the range between the Estimate minus Margin of Error and the Estimate plus the Margin of Error  defines the 90% confidence interval for the item value. Many of the margin of errors are significant relative to the size of  the estimate value.
